Company,Folder,File Name,Transcript
aep,callout_type,1001.ulaw,Normal.
aep,callout_type,1009.ulaw,All hand.
aep,callout_type,1022.ulaw,Travel.
aep,callout_type,1023.ulaw,Fill shift.
aep,callout_type,1025.ulaw,Notification.
aep,callout_type,1027.ulaw,911 emergency.
aep,callout_type,1110.ulaw,Planned overtime.
aep,callout_type,1148.ulaw,Two hour roll holdover.
aep,callout_type,1266.ulaw,Critical staffing request.
aep,callout_type,1267.ulaw,Critical staffing request.
aep,callout_type,1327.ulaw,Normal.
aep,callout_type,1328.ulaw,Planned overtime.
aep,callout_type,1329.ulaw,Fill shift.
aep,callout_type,1330.ulaw,All hand.
aep,callout_type,1580.ulaw,TDC.
aep,company,1201.ulaw,AEP.
aep,company,1202.ulaw,American Electric Power.
aep,company,1265.ulaw,Press any key to continue.
aeptt,callout_type,1001.ulaw,Normal.
aeptt,callout_type,1007.ulaw,Call until notify.
aeptt,callout_type,1014.ulaw,Travel.
aeptt,callout_type,1016.ulaw,Fill shift.
aeptt,callout_type,1025.ulaw,Notification.
aeptt,callout_type,1110.ulaw,Planned overtime.
aeptt,callout_type,1210.ulaw,Emergency.
aeptt,callout_type,1212.ulaw,Emergency.
aeptt,company,1201.ulaw,AEP Tiger Team.
aeptt,company,1265.ulaw,Press any key to continue.
airdemo,callout_type,1001.ulaw,Normal.
airdemo,callout_type,1007.ulaw,Call until notify.
airdemo,callout_type,1014.ulaw,Travel.
airdemo,callout_type,1016.ulaw,Fill shift.
airdemo,callout_type,1025.ulaw,Notification.
airdemo,callout_type,1110.ulaw,Planned overtime.
airdemo,callout_type,1172.ulaw,Normal.
airdemo,callout_type,1210.ulaw,Emergency.
airdemo,callout_type,1212.ulaw,Emergency.
airdemo,company,1201.ulaw,ArcosAir.
airdemo,company,1265.ulaw,Press any key to continue.
airdemo,list_status,1.ulaw,Regular.
airdemo,list_status,10.ulaw,Instructor green slip.
airdemo,list_status,11.ulaw,"Out of base green slip,"
airdemo,list_status,12.ulaw,Premium slip.
airdemo,list_status,4.ulaw,23 k recovery.
airdemo,list_status,5.ulaw,"In base white slip,"
airdemo,list_status,6.ulaw,Reserve.
airdemo,list_status,7.ulaw,Yellow slip.
airdemo,list_status,8.ulaw,"Out of base white slip,"
airdemo,list_status,9.ulaw,Green slip.
akair,callout_type,1001.ulaw,Normal.
akair,callout_type,1007.ulaw,Call until notify.
akair,callout_type,1014.ulaw,Travel.
akair,callout_type,1016.ulaw,Fill shift.
akair,callout_type,1025.ulaw,Notification.
akair,callout_type,1110.ulaw,Planned overtime.
akair,callout_type,1210.ulaw,Emergency.
akair,callout_type,1212.ulaw,Emergency.
akair,callout_type,1366.ulaw,CTT.
akair,company,1201.ulaw,Alaska Airlines.
akair,company,1265.ulaw,Press any key to continue.
alcoa,adhoc,344.ulaw,344
alcoa,adhoc,820.ulaw,820
alcoa,adhoc,879.ulaw,879
alcoa,adhoc,afternoon.ulaw,Afternoon.
alcoa,adhoc,back_4.ulaw,Back four.
alcoa,adhoc,cold_mill.ulaw,Cold mill.
alcoa,adhoc,day.ulaw,Day.
alcoa,adhoc,di_water.ulaw,"D I, water."
alcoa,adhoc,front_4.ulaw,Front four.
